gene_id	fpkm	RT
ENSG00000101335.10	175.80200000000002	NRT
ENSG00000155906.19	2.221	NRT
ENSG00000174106.3	2.113	NRT
ENSG00000111678.11	53.994	NRT
ENSG00000166275.16	2.061	NRT
ENSG00000146122.17	3.394	NRT
ENSG00000138279.16	5.874	NRT
ENSG00000169228.14	15.06	NRT
ENSG00000114686.9	1.504	NRT
ENSG00000231991.4	2.964	NRT
ENSG00000103197.18	62.897	NRT
ENSG00000122033.15	4.434	NRT
ENSG00000117713.20	4.503	NRT
ENSG00000181619.11	1.242	NRT
ENSG00000211643.2	5.363	NRT
ENSG00000022976.16	1.149	NRT
ENSG00000132824.14	11.657	NRT
ENSG00000114125.14	4.8660000000000005	NRT
ENSG00000148248.14	5.449	NRT
ENSG00000125743.11	11.701	NRT
ENSG00000123562.18	30.762	NRT
ENSG00000284541.1	3.85	NRT
ENSG00000119523.10	2.659	NRT
ENSG00000272555.1	2.228	NRT
ENSG00000133612.19	8.587	NRT
ENSG00000198208.12	2.853	NRT
ENSG00000173269.14	8.902999999999999	NRT
ENSG00000181222.19	4.681	NRT
ENSG00000221988.13	3.753	NRT
ENSG00000259353.1	3.256	NRT
ENSG00000120885.22	138.025	NRT
ENSG00000184898.7	1.0490000000000002	NRT
ENSG00000164294.14	3.83	NRT
ENSG00000286128.1	2.205	NRT
ENSG00000147872.10	1.1740000000000002	NRT
ENSG00000170236.16	1.041	NRT
ENSG00000243701.7	1.733	NRT
ENSG00000181523.13	7.111000000000001	NRT
ENSG00000100219.16	15.446	NRT
ENSG00000167644.12	2.843	NRT
ENSG00000170854.18	1.311	NRT
ENSG00000241357.1	15.282	NRT
ENSG00000265401.1	226.105	NRT
ENSG00000267984.1	2.278	NRT
ENSG00000157796.18	1.826	NRT
ENSG00000070770.10	2.441	NRT
ENSG00000124145.6	2.423	NRT
ENSG00000105993.15	5.556	NRT
ENSG00000128191.16	4.256	NRT
ENSG00000007168.14	14.845	NRT
ENSG00000086666.19	3.312	NRT
ENSG00000213341.11	1.19	NRT
ENSG00000196405.13	7.317	NRT
ENSG00000137573.14	15.08	NRT
ENSG00000116604.18	3.25	NRT
ENSG00000223534.1	1.732	NRT
ENSG00000129493.15	1.045	NRT
ENSG00000100890.16	1.3119999999999998	NRT
ENSG00000242797.3	1.042	NRT
ENSG00000240877.3	1.298	NRT
ENSG00000153560.12	4.477	NRT
ENSG00000060237.19	4.84	NRT
ENSG00000161010.15	31.97	NRT
ENSG00000145217.14	2.393	NRT
ENSG00000249249.2	3.047	NRT
ENSG00000079150.18	1.255	NRT
ENSG00000176692.8	8.051	NRT
ENSG00000184207.9	6.086	NRT
ENSG00000239697.11	7.325	NRT
ENSG00000169188.5	1.013	NRT
ENSG00000134107.5	9.063	NRT
ENSG00000122705.17	3.016	NRT
ENSG00000179523.5	4.033	NRT
ENSG00000136444.10	4.974	NRT
ENSG00000004776.13	27.702	NRT
ENSG00000275700.6	2.597	NRT
ENSG00000285926.1	1.0590000000000002	NRT
ENSG00000235859.5	2.371	NRT
ENSG00000256499.2	1.09	NRT
ENSG00000108443.14	3.422	NRT
ENSG00000272589.1	13.23	NRT
ENSG00000164576.12	2.458	NRT
ENSG00000106333.13	40.89	NRT
ENSG00000145022.4	4.64	NRT
ENSG00000277299.1	2.829	NRT
ENSG00000066044.15	1.625	NRT
ENSG00000207697.1	1.082	NRT
ENSG00000137055.15	1.341	NRT
ENSG00000153914.16	3.014	NRT
ENSG00000089006.17	6.957999999999999	NRT
ENSG00000100360.15	2.696	NRT
ENSG00000109339.24	2.444	NRT
ENSG00000171202.7	3.05	NRT
ENSG00000242372.9	9.561	NRT
ENSG00000277604.1	1.926	NRT
ENSG00000099860.9	55.108	RT
ENSG00000161057.13	4.87	NRT
ENSG00000157933.10	8.117	NRT
ENSG00000104979.9	5.78	NRT
ENSG00000140983.14	70.962	NRT
ENSG00000283154.2	5.058	NRT
ENSG00000187742.15	3.596	NRT
ENSG00000224078.15	4.083	NRT
ENSG00000141664.10	1.927	NRT
ENSG00000156804.7	7.593999999999999	NRT
ENSG00000225190.11	1.456	NRT
ENSG00000070476.15	2.121	NRT
ENSG00000099331.13	16.593	NRT
ENSG00000145919.11	3.097	NRT
ENSG00000089009.16	201.939	NRT
ENSG00000183808.11	1.5619999999999998	NRT
ENSG00000239282.8	2.924	NRT
ENSG00000211666.2	2.455	NRT
ENSG00000274471.2	1.946	NRT
ENSG00000172113.10	1.127	NRT
ENSG00000149476.16	3.914	NRT
ENSG00000278527.1	1.6740000000000002	NRT
ENSG00000161203.13	35.685	NRT
ENSG00000119650.13	1.5930000000000002	NRT
ENSG00000234405.2	1.037	NRT
ENSG00000260391.2	2.641	NRT
ENSG00000162300.13	10.788	NRT
ENSG00000103091.15	1.3730000000000002	NRT
ENSG00000136938.9	2.92	NRT
ENSG00000104517.13	2.523	NRT
ENSG00000284488.1	1.546	NRT
ENSG00000196419.13	3.624	NRT
ENSG00000274306.1	1.415	NRT
ENSG00000162302.13	3.177	NRT
ENSG00000177096.9	2.982	NRT
ENSG00000146556.14	3.984	NRT
ENSG00000174365.20	5.144	NRT
ENSG00000055070.17	2.895	NRT
ENSG00000188343.13	1.5219999999999998	NRT
ENSG00000125977.7	2.101	NRT
ENSG00000174483.20	2.865	NRT
ENSG00000086589.12	6.276	NRT
ENSG00000277502.1	2.708	NRT
ENSG00000196914.9	1.457	NRT
ENSG00000108669.16	4.21	NRT
ENSG00000151067.22	1.058	NRT
ENSG00000197019.5	2.823	NRT
ENSG00000039523.20	18.243	NRT
